id	title	orig_title	author	language	published	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
21888634	All I Love and Know	All I Love and Know	Judith Frank	2014-07-15		3.73	2089	375	Fiction	Glbt	Contemporary	2133	81	9
22740402	Holiday Buzz		Cleo Coyle	2012-12-04	English	4.03	2069	200	Mystery	Mystery	Cozy Mystery	599	20	5
6366020	Um dia daqueles	The Blue Day Book	Bradley Trevor Greive	2000-10-31	Portuguese	4.05	2064	223	Nonfiction	Humor	Self Help	80	4	23
27473113	The Pied Piper of Hamelin: A Child's Story Illustrated	The Pied Piper of Hamelin	Robert Browning	1842-10-31		3.89	1933	99	Poetry	Classics	Fiction	233	23	12
2460805	Father Unknown	Father Unknown	Lesley Pearse	2002-10-31	English	4.07	1923	94	Romance	Fiction	Womens Fiction	397	52	16
26220581	It Ended Badly: Thirteen of the Worst Breakups in History		Jennifer   Wright	2015-11-03	English	3.79	1902	396	Nonfiction	History	Humor	752	110	19
20747128	Sem olhos em Gaza	Eyeless in Gaza	Aldous Huxley	1936-10-31	Portuguese	3.89	1863	117	Fiction	Classics		356	121	31
16146209	Strobe Edge, Vol. 6		Io Sakisaka	2009-01-01	English	4.27	1759	50	Sequential Art	Manga	Romance	237	5	21
31235494	A Surrendered Heart	Surrendered Heart, A (The Broadmoor Legacy, Book #3)	Tracie Peterson	2009-01-01		4.06	1702	91	Christian Fiction	Historical	Historical Fiction	838	36	8
16428910	Memory	Un secret	Philippe Grimbert	2004-01-01		3.6	1684	204	Cultural	France	Fiction	239	24	14
22388828	ATLAS		Isaac Hooke	2013-12-25	English	3.81	1575	90	Science Fiction	War	Military	1432	129	
22195331	I Am No One You Know: And Other Stories	I Am No One You Know: Stories	Joyce Carol Oates	2004-10-31		3.88	1565	128	Short Stories	Fiction	Literature	462	93	17
12620382	Last Light	Last Light	Alex Scarrow	2007-10-31	English	3.93	1437	144	Thriller	Apocalyptic	Post Apocalyptic	1596	12	8
9307359	Sky of Red Poppies	Sky of Red Poppies	Zohreh Ghahremani	2010-07-15	English	3.92	1278	200	Historical	Historical Fiction	Fiction	175	36	
36007411	รักต้องห้าม	Honor Lost: Love and Death in Modern Day Jordan	Norma Khouri	2002-10-31	Thai	3.59	1202	166	Nonfiction	Autobiography	Memoir	1163	24	6
36180772	Dos hermanos	Dois irmãos	Milton Hatoum	2000-10-31	Spanish	4.01	1144	73	Fiction			94		1
5158642	Y nuestros rostros, mi vida, breves como fotos	And Our Faces, My Heart, Brief as Photos	John Berger	1982-10-31	Spanish	4.12	1082	55	Poetry	Nonfiction	Writing	1491	36	18
274888	Direct from Dell	Direct from Dell	Michael Dell	1999-02-17		3.72	1073	38	Business	Entrepreneurship	Nonfiction	198	6	3
35962068	SuperBetter: A Revolutionary Approach to Getting Stronger, Happier, Braver and More Resilient -Powered by the Science of Games	SuperBetter	Jane McGonigal	2015-09-15	English	4.02	1048	144	Nonfiction	Psychology	Self Help	4313	449	5
25309219	Trial and Temptation	Trial and Temptation	Ruby Lionsdrake	2014-10-17		4.06	1013	95	Romance	Science Fiction	Romance	381	48	10
